Socio-Demographic Variables,Crime Types,Significance
Percent Of Housing Crowded,PROSTITUTION,1
Hardship Index,PUBLIC INDECENCY,0
Per Capita Income,PUBLIC INDECENCY,0
Percent Aged 16+ Unemployed,PUBLIC INDECENCY,0
Percent Aged 25+ Without High School Diploma,PUBLIC INDECENCY,0
Percent Aged Under 18 Or Over 64,PUBLIC INDECENCY,0
Percent Households Below Poverty,PUBLIC INDECENCY,0
Percent Of Housing Crowded,PUBLIC INDECENCY,0
Hardship Index,PUBLIC PEACE VIOLATION,1
Per Capita Income,PUBLIC PEACE VIOLATION,1
Percent Aged 16+ Unemployed,PUBLIC PEACE VIOLATION,0
Percent Aged 25+ Without High School Diploma,PUBLIC PEACE VIOLATION,0
Percent Aged Under 18 Or Over 64,PUBLIC PEACE VIOLATION,1
Percent Households Below Poverty,PUBLIC PEACE VIOLATION,1
Percent Of Housing Crowded,PUBLIC PEACE VIOLATION,0
Hardship Index,ROBBERY,1
Per Capita Income,ROBBERY,1
Percent Aged 16+ Unemployed,ROBBERY,0
Percent Aged 25+ Without High School Diploma,ROBBERY,1
Percent Aged Under 18 Or Over 64,ROBBERY,1
Percent Households Below Poverty,ROBBERY,0
Percent Of Housing Crowded,ROBBERY,1
Hardship Index,SEX OFFENSE,0
Per Capita Income,SEX OFFENSE,0
Percent Aged 16+ Unemployed,SEX OFFENSE,0
Percent Aged 25+ Without High School Diploma,SEX OFFENSE,0
Percent Aged Under 18 Or Over 64,SEX OFFENSE,0
Percent Households Below Poverty,SEX OFFENSE,0
Percent Of Housing Crowded,SEX OFFENSE,0
Hardship Index,STALKING,1
Per Capita Income,STALKING,0
Percent Aged 16+ Unemployed,STALKING,1
Percent Aged 25+ Without High School Diploma,STALKING,1
Percent Aged Under 18 Or Over 64,STALKING,0
Percent Households Below Poverty,STALKING,0
Percent Of Housing Crowded,STALKING,0
Hardship Index,THEFT,0
Per Capita Income,THEFT,1
Percent Aged 16+ Unemployed,THEFT,1
Percent Aged 25+ Without High School Diploma,THEFT,1
Percent Aged Under 18 Or Over 64,THEFT,1
Percent Households Below Poverty,THEFT,1
Percent Of Housing Crowded,THEFT,1
Hardship Index,WEAPONS VIOLATION,0
Per Capita Income,WEAPONS VIOLATION,0
Percent Aged 16+ Unemployed,WEAPONS VIOLATION,1
Percent Aged 25+ Without High School Diploma,WEAPONS VIOLATION,1
Percent Aged Under 18 Or Over 64,WEAPONS VIOLATION,0
Percent Households Below Poverty,WEAPONS VIOLATION,1
Percent Of Housing Crowded,WEAPONS VIOLATION,1
